scenario,hotspot_label,algorithm,algorithm_label,aggregate_pdr,aggregate_pdr_rank,mean_rtt_ms,mean_rtt_rank,p95_rtt_ms,p95_rtt_rank,composite_rank_score,composite_rank,composite_definition
H40,Hotspot-Light,algorithm_free_one_only_over_isls,Baseline,0.8399902604843021,4,386.70366395523854,4,550.8785210066261,4,12,4,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H40,Hotspot-Light,algorithm_queue_aware_over_isls,Queue-aware,0.998620235276144,2,196.1019202704169,1,202.29184310448247,1,4,1,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H40,Hotspot-Light,algorithm_lohi,LoHi,0.9265907875639752,3,226.10751122453107,3,247.06317747183536,3,9,3,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H40,Hotspot-Light,algorithm_lhtr,LHTR,0.9989257887098006,1,198.3505423855404,2,206.1034903147333,2,5,2,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H60,Hotspot-Moderate,algorithm_free_one_only_over_isls,Baseline,0.6429210351772859,4,746.4019000998169,4,793.6698855660435,4,12,4,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H60,Hotspot-Moderate,algorithm_queue_aware_over_isls,Queue-aware,0.9847084380457468,1,201.66778908713292,1,220.55705033801144,2,4,1,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H60,Hotspot-Moderate,algorithm_lohi,LoHi,0.7547569353592269,3,243.76687685545775,3,299.0574650463238,3,9,3,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H60,Hotspot-Moderate,algorithm_lhtr,LHTR,0.9796548597715696,2,203.6770238765264,2,219.80862908766173,1,5,2,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H80,Hotspot-High,algorithm_free_one_only_over_isls,Baseline,0.5171897605345187,4,775.9558828881129,4,798.4801108594429,4,12,4,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H80,Hotspot-High,algorithm_queue_aware_over_isls,Queue-aware,0.9600685491047998,1,212.95297419542845,1,249.28120281697457,1,3,1,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H80,Hotspot-High,algorithm_lohi,LoHi,0.5975364309739724,3,273.13105027081656,3,391.65236621424816,3,9,3,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H80,Hotspot-High,algorithm_lhtr,LHTR,0.8868255192526231,2,234.30902498052652,2,310.345026489878,2,6,2,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H90,Hotspot-Severe,algorithm_free_one_only_over_isls,Baseline,0.3401647576595384,4,1351.669122130798,4,1535.486564664636,4,12,4,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H90,Hotspot-Severe,algorithm_queue_aware_over_isls,Queue-aware,0.8264627884669639,1,258.5703960161247,1,321.9047868707636,1,3,1,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H90,Hotspot-Severe,algorithm_lohi,LoHi,0.4052113073407437,3,372.9697128602888,3,592.0875536043176,3,9,3,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H90,Hotspot-Severe,algorithm_lhtr,LHTR,0.6054155616994865,2,321.37841136865376,2,471.2284487650721,2,6,2,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H100+,Hotspot-Overload,algorithm_free_one_only_over_isls,Baseline,0.2841771590707572,4,1356.5706574147914,4,1518.792339308318,4,12,4,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H100+,Hotspot-Overload,algorithm_queue_aware_over_isls,Queue-aware,0.7397783294910445,1,285.0835882942589,1,367.911232404237,1,3,1,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H100+,Hotspot-Overload,algorithm_lohi,LoHi,0.3362706153573329,3,410.4775165415799,3,648.1867257651028,3,9,3,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
H100+,Hotspot-Overload,algorithm_lhtr,LHTR,0.5051640361766271,2,360.5722177702471,2,536.474862570147,2,6,2,"sum of aggregate-PDR rank (higher is better), mean-RTT rank, and p95-RTT rank (lower is better)"
