scenario,algorithm_label,min_pdr,p5_pdr
H40,Baseline,0.3439672293942403,0.4933900198609732
H40,Queue-aware,0.9965243296921548,0.9970518867924528
H40,LoHi,0.8347815292949354,0.8420121648460774
H40,LHTR,0.996896722939424,0.9970829195630586
H60,Baseline,0.0757215268439019,0.1268387296989759
H60,Queue-aware,0.967828695562222,0.969473466432192
H60,LoHi,0.558911761663391,0.5655891176166339
H60,LHTR,0.9675183614358126,0.9704096410468604
H80,Baseline,0.1173093335402281,0.1217511055939172
H80,Queue-aware,0.9301730157498642,0.930576460547754
H80,LoHi,0.4063154627977345,0.4152882302738769
H80,LHTR,0.8123981689813019,0.8395104352548685
H90,Baseline,0.0005642385600631,0.0106584663995937
H90,Queue-aware,0.6802460080121876,0.7091265587090222
H90,LoHi,0.2053264120069965,0.2169864018507024
H90,LHTR,0.354116120295661,0.4150256728544829
H100+,Baseline,0.0020393686823904,0.015692055328959
H100+,Queue-aware,0.5332062422415322,0.5879987586451498
H100+,LoHi,0.138411065791807,0.1469786309629367
H100+,LHTR,0.2279659514098244,0.3188486433764852
