scenario,algorithm_label,isl_associated_loss_proportion,mixed_associated_loss_proportion,gsl_associated_loss_proportion,unclassified_loss_proportion
H40,Baseline,1.0,0.0,0.0,0.0
H40,Queue-aware,1.0,0.0,0.0,0.0
H40,LoHi,1.0,0.0,0.0,0.0
H40,LHTR,1.0,0.0,0.0,0.0
H60,Baseline,1.0,0.0,0.0,0.0
H60,Queue-aware,1.0,0.0,0.0,0.0
H60,LoHi,1.0,0.0,0.0,0.0
H60,LHTR,1.0,0.0,0.0,0.0
H80,Baseline,1.0,0.0,0.0,0.0
H80,Queue-aware,1.0,0.0,0.0,0.0
H80,LoHi,1.0,0.0,0.0,0.0
H80,LHTR,1.0,0.0,0.0,0.0
H90,Baseline,1.0,0.0,0.0,0.0
H90,Queue-aware,1.0,0.0,0.0,0.0
H90,LoHi,1.0,0.0,0.0,0.0
H90,LHTR,1.0,0.0,0.0,0.0
H100+,Baseline,1.0,0.0,0.0,0.0
H100+,Queue-aware,1.0,0.0,0.0,0.0
H100+,LoHi,1.0,0.0,0.0,0.0
H100+,LHTR,1.0,0.0,0.0,0.0
