scenario,algorithm_label,mean_propagation_rtt_ms,mean_queueing_delay_ms,mean_rtt_ms,p95_rtt_ms
H40,Baseline,150.9482463993005,196.23927297762478,386.70366395523854,550.8785210066261
H40,Queue-aware,156.53413782635496,0.0020681583476764,196.1019202704169,202.29184310448247
H40,LoHi,175.94690537255173,0.8957521514629947,226.10751122453107,247.06317747183536
H40,LHTR,158.76623119793285,0.006204475043029199,198.3505423855404,206.1034903147333
H60,Baseline,150.9482463993005,555.9375091222031,746.4019000998169,793.6698855660435
H60,Queue-aware,160.8726717033119,0.3660640275387263,201.66778908713292,220.55705033801144
H60,LoHi,182.6508506936677,9.8704495697074,243.76687685545775,299.0574650463238
H60,LHTR,161.49007447893607,1.728980378657487,203.6770238765264,219.80862908766173
H80,Baseline,150.9482463993005,585.4914919104991,775.9558828881129,798.4801108594429
H80,Queue-aware,168.47156696651277,1.5738685025817558,212.95297419542845,249.28120281697457
H80,LoHi,187.2953408043794,33.290993459552496,273.13105027081656,391.65236621424816
H80,LHTR,169.68104838844403,20.648492943201376,234.30902498052652,310.345026489878
H90,Baseline,150.9482463993005,1161.2047311531842,1351.669122130798,1535.486564664636
H90,Queue-aware,195.3897282020111,10.668998278829605,258.5703960161247,321.9047868707636
H90,LoHi,193.10097069161412,125.26688330464715,372.9697128602888,592.0875536043176
H90,LHTR,175.90802238414432,99.52877108433735,321.37841136865376,471.2284487650721
H100+,Baseline,150.9482463993005,1166.1062664371775,1356.5706574147914,1518.792339308318
H100+,Queue-aware,209.0721569689577,18.472567297762478,285.0835882942589,367.911232404237
H100+,LoHi,196.090691068258,158.85760000000005,410.4775165415799,648.1867257651028
H100+,LHTR,176.70531266679876,137.59242234482758,360.5722177702471,536.474862570147
