scenario_id,load_level,background_flow_count,hotspot_reference_load_percent,global_offered_isl_load_percent,algorithm,finished,console_ok,aggregate_pdr,focus_pdr,background_pdr,lost_packets,dominant_loss_attribution,max_isl_queue,max_gsl_queue,queue_aware_rtt_mean_ms_if_available,queue_aware_rtt_p95_ms_if_available,lhtr_br_selected_count_if_available,lhtr_sbr_selected_count_if_available,lhtr_fallback_count_if_available,lhtr_yellow_count_if_available,lhtr_red_count_if_available,lhtr_top_decision_reasons_if_available,route_plots_exist,notes
H40,1.0,24,47.358630953,1.841724537,algorithm_free_one_only_over_isls,true,true,0.8399902604843021,0.9786494538232373,0.8284353277060575,33515,isl_saturation_associated_loss:33515,100.0,1.0,386.70366395523854,550.8785210066261,,,,,,,true,
H40,1.0,24,47.358630953,1.841724537,algorithm_queue_aware_over_isls,true,true,0.998620235276144,0.9983862959285005,0.9986397302217809,289,isl_saturation_associated_loss:289,100.0,2.0,196.1019202704169,202.29184310448252,,,,,,,true,
H40,1.0,24,47.358630953,1.841724537,algorithm_lohi,true,true,0.9265907875639753,0.9365690168818273,0.9257592684541542,15376,isl_saturation_associated_loss:15376,100.0,2.0,226.10751122453107,247.06317747183536,,,,,,,true,
H40,1.0,24,47.358630953,1.841724537,algorithm_lhtr,true,true,0.9989257887098006,0.9988207547169812,0.9989345415425356,225,isl_saturation_associated_loss:225,100.0,2.0,198.35054238554042,206.10349031473334,79098770.0,525.0,0,748.0,5.0,br_green:5.7483e+07;no_alternative_candidate:2.07732e+07;sbr_stretch_too_high:842589;sbr_due_to_yellow:520;sbr_due_to_red:5,true,
H60,1.2,32,59.154411765,2.793402778,algorithm_free_one_only_over_isls,true,true,0.6429210351772859,0.3978483500568946,0.6582380779973105,117364,isl_saturation_associated_loss:117364,100.0,2.0,746.4019000998169,793.6698855660435,,,,,,,true,
H60,1.2,32,59.154411765,2.793402778,algorithm_queue_aware_over_isls,true,true,0.9847084380457469,0.9927588703837799,0.9842052860246199,5026,isl_saturation_associated_loss:5026,100.0,2.0,201.66778908713295,220.55705033801144,,,,,,,true,
H60,1.2,32,59.154411765,2.793402778,algorithm_lohi,true,true,0.7547569353592269,0.8008689355539464,0.751874935347057,80606,isl_saturation_associated_loss:80606,100.0,2.0,243.76687685545778,299.0574650463238,,,,,,,true,
H60,1.2,32,59.154411765,2.793402778,algorithm_lhtr,true,true,0.9796548597715697,0.9884141926140478,0.9791074014689148,6687,isl_saturation_associated_loss:6687,100.0,2.0,203.67702387652642,219.80862908766173,79250536.0,9301.0,0,15172.0,3641.0,br_green:5.7743e+07;no_alternative_candidate:2.02806e+07;sbr_stretch_too_high:1.2269e+06;sbr_due_to_yellow:7346;sbr_due_to_red:1955,true,
H80,1.6,32,78.872549021,3.724537037,algorithm_free_one_only_over_isls,true,true,0.5171897605345187,0.2371014042982388,0.5346952827992862,211580,isl_saturation_associated_loss:211580,100.0,1.0,775.9558828881129,798.4801108594429,,,,,,,true,
H80,1.6,32,78.872549021,3.724537037,algorithm_queue_aware_over_isls,true,true,0.9600685491047998,0.9797889673364885,0.9588360229653192,17499,isl_saturation_associated_loss:17499,100.0,2.0,212.95297419542845,249.28120281697457,,,,,,,true,
H80,1.6,32,78.872549021,3.724537037,algorithm_lohi,true,true,0.5975364309739724,0.7110326635115215,0.5904429164403755,176370,isl_saturation_associated_loss:176370,100.0,2.0,273.13105027081656,391.65236621424816,,,,,,,true,
H80,1.6,32,78.872549021,3.724537037,algorithm_lhtr,true,true,0.8868255192526231,0.9293195748312515,0.8841696407789588,49596,isl_saturation_associated_loss:49596,100.0,3.0,234.30902498052654,310.345026489878,79369810.0,92289.0,0,161229.0,33077.0,br_green:5.79354e+07;no_alternative_candidate:1.96938e+07;sbr_stretch_too_high:1.73856e+06;sbr_due_to_yellow:77589;sbr_due_to_red:14670,true,
H90,2.2,48,91.171171172,7.027777778,algorithm_free_one_only_over_isls,true,true,0.34016475765953846,0.3279354511087288,0.3406743120991555,584713,isl_saturation_associated_loss:584713,100.0,1.0,1351.6691221307979,1535.486564664636,,,,,,,true,
H90,2.2,48,91.171171172,7.027777778,algorithm_queue_aware_over_isls,true,true,0.8264627884669639,0.905687524685437,0.8231617577911942,153780,isl_saturation_associated_loss:153780,100.0,3.0,258.5703960161247,321.9047868707636,,,,,,,true,
H90,2.2,48,91.171171172,7.027777778,algorithm_lohi,true,true,0.4052113073407437,0.47494780793319413,0.4023056198160582,527072,isl_saturation_associated_loss:527072,100.0,2.0,372.96971286028884,592.0875536043176,,,,,,,true,
