setting_id,run_folder,load_level,background_flow_count,per_flow_rate_mbps,total_offered_rate_mbps,configured_total_offered_rate_mbps,focus_src,focus_dst,duration_s,traffic_stop_s,isl_capacity_mbps,gsl_capacity_mbps,directed_isl_link_count,total_directed_isl_capacity_mbps,reference_path_mode,reference_total_isl_hop_demand,reference_total_isl_hop_demand_unit,reference_average_isl_hop_count,offered_isl_resource_load_percent,initial_snapshot_reference_path_mode,initial_reference_total_isl_hop_demand,initial_offered_isl_resource_load_percent,reference_active_directed_isl_link_count,reference_active_capacity_load_percent,peak_reference_link_offered_rate_mbps,peak_reference_link_offered_load_percent,traffic_load_label,queue_aware_reference_label_if_available,reference_replay_success_ratio,confidence,algorithms_available,files_available,baseline_improvement_space_flag,notes,observed_pressure_condition,gsl_bottleneck_flag,safe_for_isl_focused_experiment,global_offered_isl_load_percent,global_traffic_load_label,reference_active_capacity_mbps,hotspot_reference_load_percent,hotspot_traffic_load_label,global_denominator_scope,hotspot_denominator_scope,target_corridor_directed_edge_count,target_corridor_capacity_mbps,target_corridor_total_hop_demand_mbps_hops,target_corridor_offered_load_percent,target_corridor_active_directed_edge_count,peak_target_corridor_link_offered_rate_mbps,peak_target_corridor_link_offered_load_percent,target_corridor_reference_replay_success_ratio,target_corridor_metric_source,all_isl_p95,active_isl_p95,target_corridor_p95,target_corridor_max,links_over_80pct,links_over_90pct,links_over_100pct,isl_samples_at_capacity,queue_aware_pdr,baseline_pdr,pdr_role,hotspot_metric_caveat
"load=1.0,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_1x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.000000000,24,1.666667000,43.333333334,43.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,530.416666677,Mbps*ISL-hop,12.240384615,1.841724537,baseline_shortest_path_fixed_t0,530.000000011,1.840277778,112,47.358630953,13.333333334,133.333333336,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,1.841724537,Low,1120.000000000,47.358630953,Hotspot-Light,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,376.666666674,75.333333335,48,13.333333334,133.333333336,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.170627000,0.371266000,0.540832000,0.613864000,0,0,0,42,0.998824018,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.0,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_1x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.000000000,32,1.666667000,56.666666668,56.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,670.416666680,Mbps*ISL-hop,11.830882353,2.327835648,baseline_shortest_path_fixed_t0,670.000000013,2.326388889,136,49.295343138,18.333333334,183.333333337,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,2.327835648,Low,1360.000000000,49.295343138,Hotspot-Light,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,453.333333342,90.666666668,48,18.333333334,183.333333337,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.217489000,0.370092000,0.496158000,0.635331000,0,0,0,187,0.993678587,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.0,bg=16",run_core_isl_hotspot_specific_src754_dst785_load_1x_bg_flow_count_16_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.000000000,16,1.666667000,30.000000001,30.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,380.000000008,Mbps*ISL-hop,12.666666667,1.319444444,baseline_shortest_path_fixed_t0,380.000000008,1.319444444,76,50.000000001,13.333333334,133.333333336,Low,Light,1.000000000,high,algorithm_free_one_only_over_isls;algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Non-congested,false,true,1.319444444,Low,760.000000000,50.000000001,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,290.000000006,58.000000001,48,13.333333334,133.333333336,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.106942000,0.338944000,0.444525000,0.550056000,0,0,0,0,1.000000000,0.787819744,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.2,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_1p2x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.200000000,24,2.000000000,52.000000000,52.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,636.500000000,Mbps*ISL-hop,12.240384615,2.210069444,baseline_shortest_path_fixed_t0,636.000000000,2.208333333,112,56.830357143,16.000000000,160.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,2.210069444,Low,1120.000000000,56.830357143,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,452.000000000,90.400000000,48,16.000000000,160.000000000,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.221094000,0.398905000,0.547277000,0.669630000,0,0,0,159,0.995992388,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.2,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_1p2x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.200000000,32,2.000000000,68.000000000,68.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,804.500000000,Mbps*ISL-hop,11.830882353,2.793402778,baseline_shortest_path_fixed_t0,804.000000000,2.791666667,136,59.154411765,22.000000000,220.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,2.793402778,Low,1360.000000000,59.154411765,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,544.000000000,108.800000000,48,22.000000000,220.000000000,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.269158000,0.416663000,0.542093000,0.636189000,0,0,0,518,0.985602787,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.2,bg=16",run_core_isl_hotspot_specific_src754_dst785_load_1p2x_bg_flow_count_16_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.200000000,16,2.000000000,36.000000000,36.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,456.000000000,Mbps*ISL-hop,12.666666667,1.583333333,baseline_shortest_path_fixed_t0,456.000000000,1.583333333,76,60.000000000,16.000000000,160.000000000,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Non-congested,false,true,1.583333333,Low,760.000000000,60.000000000,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,348.000000000,69.600000000,48,16.000000000,160.000000000,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.146595000,0.381413000,0.508158000,0.598940000,0,0,0,0,1.000000000,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.4,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_1p4x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.400000000,24,2.333333000,60.666666666,60.666666667,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,742.583333323,Mbps*ISL-hop,12.240384615,2.578414352,baseline_shortest_path_fixed_t0,741.999999989,2.576388889,112,66.302083332,18.666666666,186.666666664,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,2.578414352,Low,1120.000000000,66.302083332,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,527.333333326,105.466666665,48,18.666666666,186.666666664,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.247863000,0.398250000,0.515486000,0.660879000,0,0,0,297,0.992090172,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.4,bg=32",run_core_isl_hotspot_specific_src754_dst785_load_1p4x_bg_flow_count_32_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.400000000,32,2.333333000,79.333333332,79.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,938.583333320,Mbps*ISL-hop,11.830882353,3.258969907,baseline_shortest_path_fixed_t0,937.999999987,3.256944444,136,69.013480391,25.666666666,256.666666663,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Sustained congestion,false,true,3.258969907,Low,1360.000000000,69.013480391,Hotspot-Moderate,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,634.666666658,126.933333332,48,25.666666666,256.666666663,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.300400000,0.413350000,0.537386000,0.680034000,0,0,0,1188,0.971212007,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.4,bg=16",run_core_isl_hotspot_specific_src754_dst785_load_1p4x_bg_flow_count_16_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.400000000,16,2.333333000,41.999999999,42.000000000,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,531.999999992,Mbps*ISL-hop,12.666666667,1.847222222,baseline_shortest_path_fixed_t0,531.999999992,1.847222222,76,69.999999999,18.666666666,186.666666664,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,1.847222222,Low,760.000000000,69.999999999,Hotspot-High,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,405.999999994,81.199999999,48,18.666666666,186.666666664,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.177634000,0.378504000,0.523348000,0.643878000,0,0,0,29,0.999178806,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
"load=1.6,bg=24",run_core_isl_hotspot_specific_src754_dst785_load_1p6x_bg_flow_count_24_isl10mbps_gsl100mbps_lohi_mgmt_legacy_oneweb_isls_moving_udp_pdr,1.600000000,24,2.666667000,69.333333334,69.333333333,754,785,10.000000000,8.000000000,10.000000000,100.000000000,2880,28800.000000000,baseline_shortest_path_time_average_1s_over_traffic_window,848.666666677,Mbps*ISL-hop,12.240384615,2.946759259,baseline_shortest_path_fixed_t0,848.000000011,2.944444444,112,75.773809525,21.333333334,213.333333336,Low,Light,1.000000000,high,algorithm_queue_aware_over_isls,run_metadata=true;config_ns3=true;udp_burst_schedule=true;flow_selection_diagnostics=true;corridor_concentration_summary=true;isl_corridor_load_summary=true;comparison_packet_delivery=true,true,Official label uses global directed-ISL capacity and excludes PDR. Queue-aware label is auxiliary only. Active-capacity and peak-link values are supplemental hotspot diagnostics.,Localized congestion,false,true,2.946759259,Low,1120.000000000,75.773809525,Hotspot-High,all_2880_directed_ISLs_at_10Mbps,per_setting_union_of_baseline_reference_directed_ISLs_over_0_8s,50,500.000000000,602.666666674,120.533333335,48,21.333333334,213.333333336,1.000000000,baseline_shortest_path_time_average_1s_over_0_8s,0.273486000,0.403237000,0.536990000,0.691818000,0,0,0,374,0.989573419,,outcome_only_not_scenario_definition,The per-setting active-reference denominator changes when additional flows touch additional reference ISLs; global and fixed-corridor metrics are retained as sensitivity checks.
