setting_id,algorithm,all_isl_mean,all_isl_p50,all_isl_p95,all_isl_p99,all_isl_max,active_isl_mean,active_isl_p50,active_isl_p95,active_isl_p99,active_isl_max,active_directed_isl_count,target_corridor_mean,target_corridor_p50,target_corridor_p95,target_corridor_p99,target_corridor_max,target_corridor_all_p95,target_corridor_edge_count,top1_isl_utilization,top5_isl_mean_utilization,top10_isl_mean_utilization,links_over_60pct,links_over_70pct,links_over_80pct,links_over_90pct,links_over_100pct,utilization_source,isl_samples_at_capacity,gsl_samples_at_capacity,sustained_saturation_duration_s,saturated_isl_interface_count,long_saturation_isl_interface_count,observed_pressure_condition,saturation_duration_source,notes
"load=1.0,bg=16",algorithm_free_one_only_over_isls,0.010942343,0.000000000,0.000000000,0.333511000,1.000000000,0.414657225,0.167358000,1.000000000,1.000000000,1.000000000,76,0.487204706,0.167022000,1.000000000,1.000000000,1.000000000,1.000000000,50,0.999452125,0.998469750,0.997493812,20,18,18,17,12,measured_throughput,10482,0,7.635152096,2,2,Overloaded,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.0,bg=16",algorithm_queue_aware_over_isls,0.014934576,0.000000000,0.106942000,0.316185000,0.550056000,0.097393894,0.052870000,0.338944000,0.428588000,0.550056000,481,0.268560456,0.293987000,0.444525000,0.493747000,0.550056000,0.442876000,50,0.436931375,0.414204550,0.399768400,0,0,0,0,0,measured_throughput,0,0,0.000000000,0,0,Non-congested,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.2,bg=16",algorithm_queue_aware_over_isls,0.018801445,0.000000000,0.146595000,0.365286000,0.598940000,0.118034141,0.069693000,0.381413000,0.486977000,0.598940000,560,0.292722873,0.310530000,0.508158000,0.565028000,0.598940000,0.506977000,50,0.515250375,0.477165000,0.464703363,0,0,0,0,0,measured_throughput,0,0,0.000000000,0,0,Non-congested,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.4,bg=16",algorithm_queue_aware_over_isls,0.022505589,0.000000000,0.177634000,0.366488000,0.643878000,0.122035485,0.079306000,0.378504000,0.498508000,0.643878000,665,0.290372354,0.302047000,0.523348000,0.587747000,0.643878000,0.520864000,50,0.509928500,0.479818650,0.452953600,2,0,0,0,0,measured_throughput,29,0,0.018485785,4,0,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.0,bg=24",algorithm_queue_aware_over_isls,0.022230422,0.000000000,0.170627000,0.370092000,0.616573000,0.112371416,0.062483000,0.371266000,0.497462000,0.616573000,661,0.281529857,0.284554000,0.540832000,0.584142000,0.613864000,0.536991000,50,0.503153875,0.475920200,0.453919438,3,0,0,0,0,measured_throughput,42,0,2.407293899,3,0,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.2,bg=24",algorithm_queue_aware_over_isls,0.028000120,0.000000000,0.221094000,0.404368000,0.670231000,0.129050364,0.076902000,0.398905000,0.535473000,0.670231000,762,0.306717924,0.321911000,0.547277000,0.625749000,0.669630000,0.545526000,50,0.547178250,0.524890425,0.496925775,9,0,0,0,0,measured_throughput,159,0,5.999948980,7,2,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.4,bg=24",algorithm_queue_aware_over_isls,0.034360601,0.000000000,0.247863000,0.415892000,0.660879000,0.136189275,0.094926000,0.398250000,0.514898000,0.660879000,888,0.296206848,0.319625000,0.515486000,0.580372000,0.660879000,0.512704000,50,0.580071875,0.491026175,0.466271875,5,0,0,0,0,measured_throughput,297,0,7.405502922,17,2,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.6,bg=24",algorithm_queue_aware_over_isls,0.040287069,0.000000000,0.273486000,0.427244000,0.691818000,0.141842004,0.103338000,0.403237000,0.517889000,0.691818000,999,0.312330404,0.337649000,0.536990000,0.634827000,0.691818000,0.533929000,50,0.521644125,0.480909900,0.462925962,7,0,0,0,0,measured_throughput,374,0,6.313350032,23,1,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=1.8,bg=24",algorithm_queue_aware_over_isls,0.047068097,0.000000000,0.299198000,0.448196000,0.729648000,0.154238223,0.118958000,0.414552000,0.517889000,0.729648000,1033,0.309630246,0.323531000,0.510171000,0.621227000,0.729648000,0.509344000,50,0.564301125,0.497211950,0.477218675,9,1,0,0,0,measured_throughput,891,0,6.127721618,36,5,Localized congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
"load=2.0,bg=24",algorithm_queue_aware_over_isls,0.055064646,0.000000000,0.326439000,0.479438000,0.701607000,0.163617415,0.128571000,0.439785000,0.549586000,0.701607000,1180,0.339930371,0.346597000,0.576145000,0.631619000,0.696927000,0.573742000,50,0.597913000,0.543413825,0.518807812,22,1,0,0,0,measured_throughput,2082,0,7.509922596,68,12,Sustained congestion,first_to_last_capacity_observation_span_proxy,Observed pressure is algorithm-specific validation and does not define traffic_load_label.
