setting_id,traffic_load_label,observed_pressure_condition,algorithm,aggregate_pdr,focus_pdr,background_pdr,min_flow_pdr,p5_flow_pdr,lost_packets,failed_flow_count,dominant_loss_attribution,pdr_role
"load=1.0,bg=16",Low,Overloaded,algorithm_free_one_only_over_isls,0.787819744,0.998651079,0.761465827,0.052158273,0.052922662,4247,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.0,bg=16",Low,Non-congested,algorithm_queue_aware_over_isls,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0,0,no_loss,outcome_only_not_scenario_definition
"load=1.2,bg=16",Low,Non-congested,algorithm_queue_aware_over_isls,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0,0,no_loss,outcome_only_not_scenario_definition
"load=1.4,bg=16",Low,Localized congestion,algorithm_queue_aware_over_isls,0.999178806,0.999357326,0.999156491,0.996143959,0.996690231,23,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.0,bg=24",Low,Localized congestion,algorithm_queue_aware_over_isls,0.998824018,0.996402878,0.999025779,0.992805755,0.993480216,34,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.2,bg=24",Low,Localized congestion,algorithm_queue_aware_over_isls,0.995992388,0.997751124,0.995845827,0.991004498,0.992503748,139,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.4,bg=24",Low,Localized congestion,algorithm_queue_aware_over_isls,0.992090172,0.997107969,0.991672022,0.982647815,0.985861183,320,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.6,bg=24",Low,Localized congestion,algorithm_queue_aware_over_isls,0.989573419,0.996906637,0.988962317,0.973565804,0.975112486,482,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.8,bg=24",Low,Localized congestion,algorithm_queue_aware_over_isls,0.977903846,0.992750000,0.976666667,0.955000000,0.959125000,1149,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.0,bg=24",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.951659227,0.987629330,0.948661718,0.907332434,0.910931174,2794,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.0,bg=32",Low,Localized congestion,algorithm_queue_aware_over_isls,0.993678587,0.998201439,0.993395908,0.986510791,0.987095324,239,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.2,bg=32",Low,Localized congestion,algorithm_queue_aware_over_isls,0.985602787,0.995502249,0.984984070,0.971514243,0.974512744,653,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.4,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.971212007,0.986825193,0.970236183,0.939588689,0.952088689,1523,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.6,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.950555813,0.979471316,0.948748594,0.915635546,0.923987627,2989,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.8,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.933367647,0.977500000,0.930609375,0.855000000,0.863500000,4531,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.0,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.904818608,0.954565902,0.901709402,0.775978408,0.782141251,7194,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.2,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.872320462,0.927811861,0.868852249,0.725971370,0.736564417,10614,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.4,bg=32",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.855643045,0.928383952,0.851096738,0.706411699,0.722778403,13090,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.6,bg=40",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.918782474,0.963442070,0.916549494,0.826209224,0.858886389,6065,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=1.8,bg=40",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.904750000,0.949000000,0.902537500,0.804000000,0.839750000,8001,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.0,bg=40",Low,Overloaded,algorithm_free_one_only_over_isls,0.391727181,0.395861448,0.391520468,0.004948268,0.009109312,56792,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.0,bg=40",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.856061093,0.941070625,0.851810616,0.716149348,0.751349528,13439,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.2,bg=40",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.819924043,0.915337423,0.815153374,0.654805726,0.689815951,18492,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.4,bg=40",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.802015819,0.901949756,0.797019123,0.620547432,0.644281965,22177,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.2,bg=48",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.832711656,0.912269939,0.829396728,0.652351738,0.670695297,20451,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.4,bg=48",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.797262842,0.902887139,0.792861830,0.558680165,0.594225722,27035,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.6,bg=48",Low,Sustained congestion,algorithm_queue_aware_over_isls,0.760657667,0.838698512,0.757405965,0.539633091,0.562270682,34573,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.8,bg=48",Low,Overloaded,algorithm_queue_aware_over_isls,0.741831620,0.840295630,0.737728952,0.488110540,0.520179949,40171,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=3.0,bg=48",Low,Overloaded,algorithm_queue_aware_over_isls,0.717060588,0.824385123,0.712588732,0.436412717,0.495065987,47166,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.6,bg=56",Low,Overloaded,algorithm_queue_aware_over_isls,0.697896898,0.851851852,0.692398507,0.491519557,0.512322603,50621,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=2.8,bg=56",Low,Overloaded,algorithm_queue_aware_over_isls,0.670086872,0.811053985,0.665052332,0.416131105,0.441789846,59548,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
"load=3.0,bg=56",Low,Overloaded,algorithm_queue_aware_over_isls,0.640733922,0.800839832,0.635015854,0.395320936,0.447015597,69472,0,isl_saturation_associated_loss,outcome_only_not_scenario_definition
