scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H40,H40_60s,Hotspot-Light,563->603,563,603,True,1,8,13.333333333333334,10.0,1.3333333333333337,22,0.4005675,0.650719,0.672792,58,40,34,74,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,524->564,524,564,True,2,10,16.666666666666668,10.0,1.6666666666666667,15,0.47597822413793106,0.621152,0.664632,58,95,6,101,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,176->136,176,136,True,3,1,1.6666666666666667,10.0,0.1666666666666666,76,0.4858810344827586,0.614848,0.628269,58,56,10,66,355,105,250,0,0,0.704225352112676,0.704225352112676,0.47619047619047616,0.00011833333333333333
H40,H40_60s,Hotspot-Light,175->135,175,135,True,4,5,8.333333333333334,10.0,0.8333333333333334,36,0.43917118965517243,0.569035,0.642855,58,8,0,8,72,58,14,0,0,0.19444444444444445,0.19444444444444445,0.02666666666666667,2.4e-05
H40,H40_60s,Hotspot-Light,96->136,96,136,True,5,6,10.0,10.0,1.0,29,0.42515891379310344,0.55467,0.585693,58,23,8,31,32714,32714,0,0,0,0.0,0.0,0.0,0.010904666666666667
H40,H40_60s,Hotspot-Light,56->96,56,96,True,6,8,13.333333333333334,10.0,1.3333333333333337,20,0.39801925862068965,0.554329,0.645344,58,21,8,29,35022,35022,0,0,0,0.0,0.0,0.0,0.011674
H40,H40_60s,Hotspot-Light,683->16,683,16,True,7,8,13.333333333333334,10.0,1.3333333333333337,27,0.3785036379310345,0.55022,0.576283,58,30,2,32,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,564->604,564,604,True,8,13,21.666666666666668,10.0,2.166666666666667,6,0.40595403448275863,0.545177,0.556564,58,14,14,28,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,135->95,135,95,True,9,11,18.333333333333336,10.0,1.8333333333333333,14,0.4124384655172414,0.544846,0.582697,58,17,0,17,190,102,88,0,0,0.4631578947368421,0.4631578947368421,0.1676190476190476,6.333333333333333e-05
H40,H40_60s,Hotspot-Light,95->135,95,135,True,10,11,18.333333333333336,10.0,1.8333333333333333,13,0.3899810344827586,0.529959,0.554603,58,15,4,19,24013,24004,9,0,0,0.0003747969849664765,0.0003747969849664765,0.017142857142857144,0.008004333333333334
H40,H40_60s,Hotspot-Light,136->176,136,176,True,11,1,1.6666666666666667,10.0,0.1666666666666666,71,0.42194768965517243,0.522696,0.555558,58,4,0,4,22348,22347,1,0,0,4.4746733488455345e-05,4.4746733488455345e-05,0.0019047619047619048,0.007449333333333333
H40,H40_60s,Hotspot-Light,644->684,644,684,True,12,13,21.666666666666668,10.0,2.166666666666667,10,0.3947461034482759,0.518891,0.576089,58,41,8,49,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,523->563,523,563,True,13,6,10.0,10.0,1.0,32,0.34941670689655174,0.516913,0.553726,58,16,0,16,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,604->644,604,644,False,,13,21.666666666666668,10.0,2.166666666666667,8,0.3830821724137931,0.513235,0.554346,58,22,4,26,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,603->643,603,643,False,,8,13.333333333333334,10.0,1.3333333333333337,24,0.36820725862068965,0.511677,0.59826,58,22,10,32,0,0,0,0,0,,,0.0,0.0
H40,H40_60s,Hotspot-Light,135->175,135,175,False,,5,8.333333333333334,10.0,0.8333333333333334,35,0.3656383103448276,0.510185,0.513373,58,4,0,4,0,0,0,0,0,,,0.0,0.0
