sample_index,time_ns,src,dst,current_node,selected_route_type,decision_reason,br_max_color,sbr_max_color,matched_top_segments,br_path,sbr_path,selected_path
2461,0,15,720,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175->215,,15->55->95->135->175->215
2463,0,15,722,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2469,0,15,726,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175,,15->55->95->135->175
2471,0,15,727,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175->215,,15->55->95->135->175->215
2475,0,15,730,15,BR,br_green,GREEN,GREEN,15->55,15->55->56->57,15->16->56->57,15->55->56->57
2479,0,15,733,15,BR,br_green,GREEN,GREEN,15->55,15->55->56->57,15->16->56->57,15->55->56->57
2481,0,15,735,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136,15->16->56->96->136,15->55->95->135->136
2483,0,15,737,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176->177->178,15->16->56->96->136->176->177->178,15->55->95->135->175->176->177->178
2486,0,15,739,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137,15->16->56->96->136->137,15->55->95->135->136->137
2493,0,15,743,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175,,15->55->95->135->175
2496,0,15,745,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137,15->16->56->96->136->137,15->55->95->135->136->137
2498,0,15,746,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137->138->139,15->16->56->96->136->137->138->139,15->55->95->135->136->137->138->139
2505,0,15,751,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175->215,,15->55->95->135->175->215
2509,0,15,753,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175->215,,15->55->95->135->175->215
2512,0,15,755,15,BR,br_green,GREEN,GREEN,15->55;55->95,15->55->95->96->97->98,15->16->56->96->97->98,15->55->95->96->97->98
2518,0,15,760,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136,15->16->56->96->136,15->55->95->135->136
2519,0,15,761,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136,15->16->56->96->136,15->55->95->135->136
2520,0,15,762,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137,15->16->56->96->136->137,15->55->95->135->136->137
2521,0,15,763,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2523,0,15,765,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137,15->16->56->96->136->137,15->55->95->135->136->137
2524,0,15,766,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137->138,15->16->56->96->136->137->138,15->55->95->135->136->137->138
2525,0,15,767,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137,15->16->56->96->136->137,15->55->95->135->136->137
2527,0,15,768,15,BR,br_green,GREEN,GREEN,15->55;55->95,15->55->95->96->97->98->99,15->16->56->96->97->98->99,15->55->95->96->97->98->99
2531,0,15,771,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2533,0,15,773,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175,,15->55->95->135->175
2535,0,15,775,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136,15->16->56->96->136,15->55->95->135->136
2549,0,15,783,15,BR,br_green,GREEN,GREEN,15->55;55->95,15->55->95->96->97->98->99,15->16->56->96->97->98->99,15->55->95->96->97->98->99
2552,0,15,785,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->215->216,15->16->56->96->136->176->216,15->55->95->135->175->215->216
2555,0,15,787,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2556,0,15,788,15,BR,no_alternative_candidate,GREEN,,135->175;15->55;55->95;95->135,15->55->95->135->175->215,,15->55->95->135->175->215
2570,0,15,797,15,BR,br_green,GREEN,GREEN,15->55;55->95,15->55->95->96->97->98,15->16->56->96->97->98,15->55->95->96->97->98
2574,0,15,801,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2575,0,15,802,15,BR,br_green,GREEN,GREEN,15->55,15->55->56->57,15->16->56->57,15->55->56->57
2579,0,15,804,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137->138->139,15->16->56->96->136->137->138->139,15->55->95->135->136->137->138->139
2580,0,15,805,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2581,0,15,806,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176->177,15->16->56->96->136->176->177,15->55->95->135->175->176->177
2582,0,15,807,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136,15->16->56->96->136,15->55->95->135->136
2586,0,15,809,15,BR,br_green,GREEN,GREEN,15->55;55->95;95->135,15->55->95->135->136->137->138->139,15->16->56->96->136->137->138->139,15->55->95->135->136->137->138->139
2592,0,15,813,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176,15->16->56->96->136->176,15->55->95->135->175->176
2595,0,15,815,15,BR,br_green,GREEN,GREEN,135->175;15->55;55->95;95->135,15->55->95->135->175->176->177,15->16->56->96->136->176->177,15->55->95->135->175->176->177
2601,0,15,819,15,BR,br_green,GREEN,GREEN,15->55;55->95,15->55->95->96->97,15->16->56->96->97,15->55->95->96->97
2603,0,16,720,16,BR,no_alternative_candidate,GREEN,,136->176;96->136,16->56->96->136->176->216,,16->56->96->136->176->216
2605,0,16,722,16,BR,no_alternative_candidate,GREEN,,136->176;96->136,16->56->96->136->176,,16->56->96->136->176
2611,0,16,726,16,BR,no_alternative_candidate,GREEN,,136->176;96->136,16->56->96->136->176,,16->56->96->136->176
2613,0,16,727,16,BR,no_alternative_candidate,GREEN,,136->176;96->136,16->56->96->136->176->216,,16->56->96->136->176->216
2624,0,16,735,16,BR,no_alternative_candidate,GREEN,,96->136,16->56->96->136,,16->56->96->136
2626,0,16,737,16,BR,br_green,GREEN,GREEN,136->176;96->136,16->56->96->136->176->177->178,16->17->57->97->137->177->178,16->56->96->136->176->177->178
2629,0,16,739,16,BR,br_green,GREEN,GREEN,96->136,16->56->96->136->137,16->17->57->97->137,16->56->96->136->137
