scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H80,H80_200s,Hotspot-High,176->136,176,136,True,1,4,10.666666666666666,10.0,1.0666666666666669,40,0.568131797979798,0.778636,0.890916,198,279,515,794,33694,23267,10427,0,0,0.30946162521517184,0.30946162521517184,0.037526497442929276,0.0033694
H80,H80_200s,Hotspot-High,135->175,135,175,True,2,5,13.333333333333332,10.0,1.3333333333333333,35,0.5989270707070707,0.742712,0.807037,198,716,145,861,90717,80861,9856,0,0,0.10864556808536438,0.10864556808536438,0.03547148353289642,0.0090717
H80,H80_200s,Hotspot-High,175->135,175,135,True,3,5,13.333333333333332,10.0,1.3333333333333333,36,0.5491173838383838,0.731774,0.824389,198,366,461,827,30329,20285,10044,0,0,0.33116818886214516,0.33116818886214516,0.03614809056457098,0.0030329
H80,H80_200s,Hotspot-High,136->176,136,176,True,4,4,10.666666666666666,10.0,1.0666666666666669,39,0.5831699595959596,0.723616,0.835508,198,761,160,921,87014,77606,9408,0,0,0.10812053232813111,0.10812053232813111,0.03385914337231022,0.0087014
H80,H80_200s,Hotspot-High,135->95,135,95,True,5,11,29.33333333333333,10.0,2.933333333333333,22,0.4979234444444444,0.695133,0.862333,198,303,277,580,27344,18225,9119,0,0,0.3334918080748976,0.3334918080748976,0.032819040009789205,0.0027344
H80,H80_200s,Hotspot-High,95->135,95,135,True,6,11,29.33333333333333,10.0,2.933333333333333,21,0.5540486919191919,0.68415,0.74926,198,515,172,687,105290,97939,7351,0,0,0.06981669674233071,0.06981669674233071,0.026456054733190095,0.010529
H80,H80_200s,Hotspot-High,96->136,96,136,True,7,10,26.666666666666664,10.0,2.6666666666666665,25,0.5146788383838384,0.652468,0.743435,198,446,144,590,117875,110195,7680,0,0,0.06515376458112407,0.06515376458112407,0.027640117038620585,0.0117875
H80,H80_200s,Hotspot-High,136->96,136,96,True,8,10,26.666666666666664,10.0,2.6666666666666665,26,0.4639871565656566,0.64646,0.826672,198,320,157,477,27220,17676,9544,0,0,0.3506245407788391,0.3506245407788391,0.03434860377820246,0.002722
H80,H80_200s,Hotspot-High,55->95,55,95,True,9,13,34.666666666666664,10.0,3.4666666666666663,4,0.4785823131313131,0.645259,0.709061,198,350,177,527,113040,108506,4534,0,0,0.04010969568294409,0.04010969568294409,0.01631774617878981,0.011304
H80,H80_200s,Hotspot-High,15->55,15,55,True,10,13,34.666666666666664,10.0,3.4666666666666663,1,0.46441801515151515,0.640327,0.723528,198,305,166,471,141140,137677,3463,0,0,0.024535921779793114,0.024535921779793114,0.012463245482388422,0.014114
H80,H80_200s,Hotspot-High,643->683,643,683,True,11,12,32.0,10.0,3.2,18,0.4823623080808081,0.637737,0.689718,198,301,160,461,8076,3818,4258,0,0,0.5272412085190689,0.5272412085190689,0.015324429472714382,0.0008076
H80,H80_200s,Hotspot-High,603->643,603,643,True,12,11,29.33333333333333,10.0,2.933333333333333,23,0.501352005050505,0.636239,0.714356,198,253,295,548,4778,1911,2867,0,0,0.6000418585182085,0.6000418585182085,0.010318257233037137,0.0004778
H80,H80_200s,Hotspot-High,644->684,644,684,True,13,13,34.666666666666664,10.0,3.4666666666666663,10,0.47758571717171716,0.635782,0.777196,198,269,166,435,7195,3442,3753,0,0,0.5216122307157749,0.5216122307157749,0.01350694781848217,0.0007195
