window_start_s,window_end_s,br_selected,sbr_selected,fallback,sbr_ratio,sbr_ratio_no_fallback,yellow_count,red_count,yellow_plus_red_count,traffic_light_link_samples,congestion_score,is_top25_congested_window
0.0,1.0,1320081,247,0,0.0001870747268860465,0.0001870747268860465,76,38,114,28800,152,False
1.0,2.0,1323330,1337,0,0.0010093102643909753,0.0010093102643909753,209,86,295,28800,381,False
2.0,3.0,1323796,1276,0,0.0009629665406860911,0.0009629665406860911,314,89,403,28800,492,False
3.0,4.0,1323687,1851,0,0.0013964141352416906,0.0013964141352416906,337,137,474,28800,611,True
4.0,5.0,1322709,1450,0,0.0010950346597349715,0.0010950346597349715,393,140,533,28800,673,True
5.0,6.0,1323591,1545,0,0.0011659180642590648,0.0011659180642590648,308,106,414,28800,520,False
6.0,7.0,1324187,639,0,0.0004823274905534765,0.0004823274905534765,236,106,342,28800,448,False
7.0,8.0,1323861,1206,0,0.0009101426569373474,0.0009101426569373474,350,103,453,28800,556,False
8.0,9.0,1322123,2934,0,0.0022142443683554744,0.0022142443683554744,328,124,452,28800,576,False
9.0,10.0,1322406,1517,0,0.001145837031307712,0.001145837031307712,281,113,394,28800,507,False
10.0,11.0,1322964,1440,0,0.0010872815243686972,0.0010872815243686972,362,114,476,28800,590,False
11.0,12.0,1323112,1483,0,0.001119587496555551,0.001119587496555551,371,149,520,28800,669,True
12.0,13.0,1321945,1858,0,0.0014035320965430657,0.0014035320965430657,399,145,544,28800,689,True
13.0,14.0,1321825,1293,0,0.0009772371020574128,0.0009772371020574128,335,108,443,28800,551,False
14.0,15.0,1321674,940,0,0.0007107137834621439,0.0007107137834621439,288,126,414,28800,540,False
15.0,16.0,1322225,914,0,0.0006907815429822566,0.0006907815429822566,278,111,389,28800,500,False
16.0,17.0,1320458,3055,0,0.0023082508445326946,0.0023082508445326946,412,151,563,28800,714,True
17.0,18.0,1322759,1326,0,0.0010014462817719407,0.0010014462817719407,350,165,515,28800,680,True
18.0,19.0,1323127,1304,0,0.0009845737528040343,0.0009845737528040343,319,112,431,28800,543,False
19.0,20.0,1321338,2262,0,0.0017089755213055304,0.0017089755213055304,379,118,497,28800,615,True
20.0,21.0,1321870,2309,0,0.0017437219590402807,0.0017437219590402807,406,134,540,28800,674,True
21.0,22.0,1322541,1542,0,0.0011645795618552613,0.0011645795618552613,328,125,453,28800,578,False
22.0,23.0,1322956,1060,0,0.0008005945547485831,0.0008005945547485831,288,136,424,28800,560,False
23.0,24.0,1322476,2201,0,0.0016615371143305123,0.0016615371143305123,399,110,509,28800,619,True
24.0,25.0,1323470,1693,0,0.0012775786827733645,0.0012775786827733645,375,131,506,28800,637,True
25.0,26.0,1322953,1359,0,0.0010261932233491806,0.0010261932233491806,346,169,515,28800,684,True
26.0,27.0,1320927,3921,0,0.002959584797652259,0.002959584797652259,327,139,466,28800,605,True
27.0,28.0,1323221,1149,0,0.0008675823221607255,0.0008675823221607255,322,121,443,28800,564,False
28.0,29.0,1322988,1750,0,0.0013210159291875074,0.0013210159291875074,303,146,449,28800,595,False
29.0,30.0,1321422,2273,0,0.0017171629416141937,0.0017171629416141937,365,113,478,28800,591,False
30.0,31.0,1321831,1709,0,0.0012912341145715279,0.0012912341145715279,376,152,528,28800,680,True
31.0,32.0,1322225,2104,0,0.0015887290846911908,0.0015887290846911908,288,147,435,28800,582,False
32.0,33.0,1322659,1269,0,0.0009585113389852016,0.0009585113389852016,372,127,499,28800,626,True
33.0,34.0,1322909,956,0,0.0007221280115419623,0.0007221280115419623,344,137,481,28800,618,True
34.0,35.0,1323143,1575,0,0.0011889322859657677,0.0011889322859657677,324,120,444,28800,564,False
35.0,36.0,1322879,1668,0,0.0012592984620402297,0.0012592984620402297,368,121,489,28800,610,True
