result_scope,scenario,hotspot_label,duration_s,traffic_stop_s,load_level,background_flow_count,hotspot_reference_load_percent,global_offered_isl_load_percent,algorithm,algorithm_label,aggregate_pdr,focus_pdr,background_pdr,min_flow_pdr,p5_flow_pdr,lost_packets,mean_rtt_ms,p95_rtt_ms,mean_propagation_only_rtt_ms,mean_queue_delay_ms,dominant_loss_attribution,isl_associated_loss_ratio,gsl_associated_loss_ratio,mixed_associated_loss_ratio,lhtr_br_selected_count,lhtr_sbr_selected_count,lhtr_sbr_selection_ratio,lhtr_fallback_count,lhtr_yellow_count,lhtr_red_count,lhtr_top_decision_reasons,route_plot_exists
5-level formal curve,H40,Hotspot-Light,60,58.0,1.0,24,47.358630953,1.841724537,algorithm_free_one_only_over_isls,Baseline,0.8399902604843021,0.9786494538232372,0.8284353277060575,0.3439672293942403,0.4933900198609732,33515,386.70366395523854,550.8785210066261,150.9482463993005,196.2392729776248,isl_saturation_associated_loss:33515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H40,Hotspot-Light,60,58.0,1.0,24,47.358630953,1.841724537,algorithm_queue_aware_over_isls,Queue-aware,0.998620235276144,0.9983862959285004,0.9986397302217808,0.9965243296921548,0.9970518867924528,289,196.1019202704169,202.29184310448247,156.53413782635496,0.0020681583476764,isl_saturation_associated_loss:289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H40,Hotspot-Light,60,58.0,1.0,24,47.358630953,1.841724537,algorithm_lohi,LoHi,0.9265907875639752,0.9365690168818273,0.9257592684541542,0.8347815292949354,0.8420121648460774,15376,226.10751122453107,247.06317747183536,175.94690537255173,0.8957521514629947,isl_saturation_associated_loss:15376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H40,Hotspot-Light,60,58.0,1.0,24,47.358630953,1.841724537,algorithm_lhtr,LHTR,0.9989257887098006,0.9988207547169812,0.9989345415425356,0.996896722939424,0.9970829195630586,225,198.3505423855404,206.1034903147333,158.76623119793285,0.0062044750430291,isl_saturation_associated_loss:225,1.0,0.0,0.0,79098770.0,525.0,6.637227297664284e-06,0.0,748.0,5.0,br_green:57483015;no_alternative_candidate:20773166;sbr_stretch_too_high:842589;sbr_due_to_yellow:520;sbr_due_to_red:5,True
5-level formal curve,H60,Hotspot-Moderate,60,58.0,1.2,32,59.154411765,2.793402778,algorithm_free_one_only_over_isls,Baseline,0.6429210351772859,0.3978483500568946,0.6582380779973105,0.0757215268439019,0.1268387296989759,117364,746.4019000998169,793.6698855660435,150.9482463993005,555.9375091222031,isl_saturation_associated_loss:117364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H60,Hotspot-Moderate,60,58.0,1.2,32,59.154411765,2.793402778,algorithm_queue_aware_over_isls,Queue-aware,0.9847084380457468,0.99275887038378,0.98420528602462,0.967828695562222,0.969473466432192,5026,201.6677890871329,220.55705033801144,160.8726717033119,0.3660640275387263,isl_saturation_associated_loss:5026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H60,Hotspot-Moderate,60,58.0,1.2,32,59.154411765,2.793402778,algorithm_lohi,LoHi,0.7547569353592269,0.8008689355539464,0.751874935347057,0.558911761663391,0.5655891176166339,80606,243.76687685545772,299.0574650463238,182.6508506936677,9.8704495697074,isl_saturation_associated_loss:80606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H60,Hotspot-Moderate,60,58.0,1.2,32,59.154411765,2.793402778,algorithm_lhtr,LHTR,0.9796548597715696,0.9884141926140478,0.9791074014689148,0.9675183614358126,0.9704096410468604,6687,203.6770238765264,219.80862908766173,161.49007447893607,1.728980378657487,isl_saturation_associated_loss:6687,1.0,0.0,0.0,79250536.0,9301.0,0.0001173482100398,0.0,15172.0,3641.0,br_green:57743025;no_alternative_candidate:20280591;sbr_stretch_too_high:1226905;sbr_due_to_yellow:7346;sbr_due_to_red:1955,True
5-level formal curve,H80,Hotspot-High,60,58.0,1.6,32,78.872549021,3.724537037,algorithm_free_one_only_over_isls,Baseline,0.5171897605345187,0.2371014042982388,0.5346952827992862,0.1173093335402281,0.1217511055939172,211580,775.9558828881129,798.4801108594429,150.9482463993005,585.4914919104991,isl_saturation_associated_loss:211580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
5-level formal curve,H80,Hotspot-High,60,58.0,1.6,32,78.872549021,3.724537037,algorithm_queue_aware_over_isls,Queue-aware,0.9600685491047998,0.9797889673364883,0.9588360229653192,0.9301730157498642,0.930576460547754,17499,212.95297419542845,249.28120281697457,168.47156696651277,1.5738685025817558,isl_saturation_associated_loss:17499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True
